1/n (high and low 5) (orig),"mutUniformInt (-5,5,0.09)",3/n (high and low 5) (orig),1/n (high and low 10),3/n (high and low 10),CROSSOVER STARTS,One-Pt Crossover,Two-Pt Crossover,SELECTION STARTS,TournamentSelection3,TournamentSelection5,TournamentSelection6,TournamentSelection8,RouletteSelection,NSGA-II,RandomSelection,,FINAL,100_Tourn3,100_Tourn6
2010,2015,1964,1995,2010,,1993,1995,,1995,2041,2010,2014,1926,1853,1361,,,1995,2010
1916,1922,1978,2028,2026,,2031,1959,,1959,1991,1958,1991,1994,1875,1404,,,1959,1958
1955,1917,2001,1938,1986,,1974,1920,,1920,2042,1978,1987,1939,1849,1654,,,1920,1978
1874,1953,1995,2038,1962,,2073,2083,,2083,1977,2008,1977,1953,1910,1536,,,2083,2008
1997,1968,2000,2018,2016,,1934,1990,,1990,2044,1996,2000,1957,1844,1279,,,1990,1996
2009,1955,1922,1976,2003,,1960,2017,,2017,1982,1978,2027,1983,1831,1505,,,2017,1978
1999,1826,1906,2051,1987,,1991,2026,,2026,1934,1915,1868,1961,1871,1551,,,2026,1915
1977,1829,1940,1930,1962,,2020,1989,,1989,2023,1965,2044,2003,1866,1525,,,1989,1965
1985,1848,1997,1974,1999,,1947,1988,,1988,2033,2032,1984,2031,1891,1618,,,1988,2032
2020,1812,1988,1955,1980,,1962,1945,,1945,2052,2046,2003,2003,1910,1491,,,1945,2046
1962,1925,2065,2006,2005,,1936,2063,,2063,2046,1932,2009,1976,1879,1383,,,2063,1932
2016,1869,2059,1892,1943,,1982,2025,,2025,1982,1981,2046,1994,1881,1603,,,2025,1981
1984,1909,2051,2025,2010,,2082,1958,,1958,2017,2015,2038,1911,1828,1457,,,1958,2015
2050,1931,2020,1999,1997,,1973,2060,,2060,2051,2043,2003,2001,1856,1414,,,2060,2043
1945,1915,1990,1898,2001,,2018,1998,,1998,2027,2035,1992,1940,1863,1386,,,1998,2035
1960,1890,1949,1930,1972,,1996,1973,,1973,2010,1987,2017,1975,1833,1371,,,1973,1987
1993,1964,1965,2043,1975,,1996,2018,,2018,2008,1987,2001,1976,1866,1532,,,2018,1987
