Player,Position,Cost,Points
"OTAMENDI, N",DEF,10.2,244
"AZPILICUETA, C",DEF,10.3,240
"WALKER, K",DEF,10.5,204
"ALONSO, M",DEF,10.1,187
"VERTONGHEN, J",DEF,10,179
"VALENCIA, A",DEF,9.8,173
"MONREAL, N",DEF,9.7,172
"RUDIGER, A",DEF,9.5,157
"DAVIES, B",DEF,9.6,157
"MUSTAFI, S",DEF,8.8,153
"LOVREN, D",DEF,8.7,151
"BELLERIN, H",DEF,8.9,146
"ROBERTSON, A",DEF,9,145
"SANCHEZ, D",DEF,8.7,144
"SMALLING, C",DEF,9.4,140
"LASCELLES, J",DEF,8.1,137
"MAGUIRE, H",DEF,8.5,133
"JONES, P",DEF,9.1,131
"MATIP, J",DEF,8.7,126
"KOLASINAC, S",DEF,8.3,126
DANILO,DEF,8.4,126
"GOMEZ, J",DEF,8.2,125
"KOSCIELNY, L",DEF,8.5,122
"SCHINDLER, C",DEF,7.9,122
"TARKOWSKI, J",DEF,8.5,121
"TRIPPIER, K",DEF,8.5,120
"VAN DIJK, V",DEF,9.9,118
"BERTRAND, R",DEF,8.2,117
"TOMKINS, J",DEF,7.8,116
"VAN AANHOLT, P",DEF,7.6,114
"JORGENSEN, M",DEF,7.6,111
"CRESSWELL, A",DEF,8,111
"KOMPANY, V",DEF,9.5,110
"STONES, J",DEF,8.9,108
"KLAVAN, R",DEF,8,107
"WARD, S",DEF,7.4,107
"ZOUMA, K",DEF,7.6,105
"AKE, N",DEF,8.1,104
"YOUNG, A",DEF,8.7,103
"DANIELS, C",DEF,7.7,102
"CAHILL, G",DEF,8.4,101
"ZABALETA, P",DEF,7.6,101
"DUNK, L",DEF,7.9,97
"MEE, B",DEF,7.7,96
"LOWTON, M",DEF,7.8,96
"MOSES, V",DEF,9.1,96
"YEDLIN, D",DEF,7.7,94
"SOARES, C",DEF,8,94
"CHRISTENSEN, A",DEF,8.3,92
"DUFFY, S",DEF,7.5,92
"YOSHIDA, M",DEF,7.7,88
"AURIER, S",DEF,8.2,86
BRUNO,DEF,7.3,84
"FRANCIS, S",DEF,7.4,82
"BAINES, L",DEF,7.9,81
"HOEDT, W",DEF,7.4,81
"COOK, S",DEF,7.5,80
"KABASELE, C",DEF,7.5,80
"KEANE, M",DEF,7.6,79
"SAKHO, M",DEF,8.1,78
"EVANS, J",DEF,7.3,78
"OGBONNA, A",DEF,7.2,77
"MASUAKU, A",DEF,7.1,75
"LEJEUNE, F",DEF,7,73
"HOLEBAS, J",DEF,7.2,70
"JANMAAT, D",DEF,7.1,69
"LOWE, C",DEF,7.1,69
"BONG, G",DEF,7.2,67
